rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1612713072648336043,,38558,,0,0,'',,-0.239440917969,0.599243164062,-0.3515625,0.67822265625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,36.1875,-25.125,2.375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.54999995232,-1.26999998093,0.949999988079,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612713072701894968,,38559,,0,0,'',,-0.2314453125,0.585693359375,-0.35107421875,0.692932128906,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,21.5,-33.875,23.0625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1.38999998569,-0.330000013113,0.490000009537,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612713072752516794,,38560,,0,0,'',,-0.20361328125,0.571228027344,-0.364868164062,0.706481933594,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,47.0625,14.9375,-11.875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,4.19999980927,1.50999999046,-5.11999988556,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612713072823473653,,38561,,0,0,'',,-0.210144042969,0.58056640625,-0.368713378906,0.694885253906,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-35.625,-17.25,-14.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.280000001192,1.58000004292,-1.96000003815,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612713072887158968,,38562,,0,0,'',,-0.233642578125,0.58251953125,-0.355895996094,0.692443847656,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-40.25,-26.6875,-11.375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.0900000035763,-0.00999999977648,0.879999995232,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612713072955116127,,38563,,0,0,'',,-0.25537109375,0.574279785156,-0.343994140625,0.697631835938,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-32.875,-20.25,-15.125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.15000000596,-0.379999995232,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612713073038112602,,38564,,0,0,'',,-0.270385742188,0.577575683594,-0.33349609375,0.6943359375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-30.25,42.6875,18.1875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.08000004292,-1.20000004768,2.27999997139,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612713073078169337,,38565,,0,0,'',,-0.262145996094,0.59375,-0.321960449219,0.689270019531,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-33.6875,62.125,35.1875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.63999998569,-2.94000005722,1.85000002384,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612713073130271289,,38566,,0,0,'',,-0.249450683594,0.617797851562,-0.317016601562,0.674987792969,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,19.4375,30.875,20.1875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.51999998093,-0.550000011921,-1.46000003815,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612713073191547534,,38567,,0,0,'',,-0.22802734375,0.61328125,-0.321411132812,0.6845703125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,36.25,-35.8125,-2.625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,2.03999996185,1.19000005722,-1.17999994755,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
