rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1612714823644628395,,3366,,0,0,'',,-0.0470581054688,0.586608886719,-0.600463867188,0.541381835938,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-5.1875,10.0625,-16.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.589999973774,-1.23000001907,-0.389999985695,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612714823703236441,,3367,,0,0,'',,-0.0484619140625,0.596374511719,-0.601806640625,0.528991699219,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-22.0625,34.4375,-14.375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.39999997616,-0.460000008345,1.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612714823771337097,,3368,,0,0,'',,-0.0478515625,0.5966796875,-0.605834960938,0.524108886719,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,11.125,12.125,-15.0625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.340000003576,0.649999976158,0.629999995232,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612714823818728729,,3369,,0,0,'',,-0.0492553710938,0.595520019531,-0.608093261719,0.522644042969,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.125,-1.5,-2.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.319999992847,-0.10000000149,0.019999999553,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612714823869619717,,3370,,0,0,'',,-0.0492553710938,0.59423828125,-0.608581542969,0.523498535156,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.1875,-7.4375,3.0625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.170000001788,-0.109999999404,0.0299999993294,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612714823927927901,,3371,,0,0,'',,-0.0510864257812,0.592590332031,-0.606994628906,0.527038574219,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-5.5,4.125,4.8125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.589999973774,-0.439999997616,-0.0599999986589,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612714823986361337,,3372,,0,0,'',,-0.0514526367188,0.593627929688,-0.60498046875,0.528198242188,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-7.25,3.0,7.375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.15000000596,0.25,0.419999986887,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612714824038600762,,3373,,0,0,'',,-0.05126953125,0.59619140625,-0.6005859375,0.530334472656,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-9.5625,2.875,7.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.670000016689,0.579999983311,-0.189999997616,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612714824106325650,,3374,,0,0,'',,-0.0504150390625,0.598754882812,-0.596557617188,0.531982421875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-6.0625,-4.0625,7.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.409999996424,0.540000021458,-0.159999996424,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1612714824160271996,,3375,,0,0,'',,-0.0505981445312,0.600036621094,-0.593139648438,0.534423828125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.9375,-9.875,3.8125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.019999999553,0.0599999986589,0.00999999977648,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
